make,fuel_type,num_of_doors,body_style,drive_wheels,engine_location,fuel_system,horsepower,city_mpg,highway_mpg,price
alfa-romero,gas,two,convertible,rwd,front,mpfi,111,21,27,13495
alfa-romero,gas,two,convertible,rwd,front,mpfi,111,21,27,16500
alfa-romero,gas,two,hatchback,rwd,front,mpfi,154,19,26,16500
audi,gas,four,sedan,fwd,front,mpfi,102,24,30,13950
audi,gas,four,sedan,4wd,front,mpfi,115,18,22,17450
audi,gas,two,sedan,fwd,front,mpfi,110,19,25,15250
audi,gas,four,sedan,fwd,front,mpfi,110,19,25,17710
audi,gas,four,wagon,fwd,front,mpfi,110,19,25,18920
audi,gas,four,sedan,fwd,front,mpfi,140,17,20,23875
audi,gas,two,hatchback,4wd,front,mpfi,160,16,22,0
bmw,gas,two,sedan,rwd,front,mpfi,101,23,29,16430
bmw,gas,four,sedan,rwd,front,mpfi,101,23,29,16925
bmw,gas,two,sedan,rwd,front,mpfi,121,21,28,20970
bmw,gas,four,sedan,rwd,front,mpfi,121,21,28,21105
bmw,gas,four,sedan,rwd,front,mpfi,121,20,25,24565
bmw,gas,four,sedan,rwd,front,mpfi,182,16,22,30760
bmw,gas,two,sedan,rwd,front,mpfi,182,16,22,41315
bmw,gas,four,sedan,rwd,front,mpfi,182,15,20,36880
chevrolet,gas,two,hatchback,fwd,front,2bbl,48,47,53,5151
chevrolet,gas,two,hatchback,fwd,front,2bbl,70,38,43,6295
chevrolet,gas,four,sedan,fwd,front,2bbl,70,38,43,6575
dodge,gas,two,hatchback,fwd,front,2bbl,68,37,41,5572
dodge,gas,two,hatchback,fwd,front,2bbl,68,31,38,6377
dodge,gas,two,hatchback,fwd,front,mpfi,102,24,30,7957
dodge,gas,four,hatchback,fwd,front,2bbl,68,31,38,6229
dodge,gas,four,sedan,fwd,front,2bbl,68,31,38,6692
dodge,gas,four,sedan,fwd,front,2bbl,68,31,38,7609
dodge,gas,,sedan,fwd,front,mpfi,102,24,30,8558
dodge,gas,four,wagon,fwd,front,2bbl,88,24,30,8921
dodge,gas,two,hatchback,fwd,front,mfi,145,19,24,12964
honda,gas,two,hatchback,fwd,front,1bbl,58,49,54,6479
honda,gas,two,hatchback,fwd,front,1bbl,76,31,38,6855
honda,gas,two,hatchback,fwd,front,1bbl,60,38,42,5399
honda,gas,two,hatchback,fwd,front,1bbl,76,30,34,6529
honda,gas,two,hatchback,fwd,front,1bbl,76,30,34,7129
honda,gas,four,sedan,fwd,front,1bbl,76,30,34,7295
honda,gas,four,wagon,fwd,front,1bbl,76,30,34,7295
honda,gas,two,hatchback,fwd,front,1bbl,86,27,33,7895
honda,gas,two,hatchback,fwd,front,1bbl,86,27,33,9095
honda,gas,four,sedan,fwd,front,1bbl,86,27,33,8845
honda,gas,four,sedan,fwd,front,1bbl,86,27,33,10295
honda,gas,four,sedan,fwd,front,mpfi,101,24,28,12945
honda,gas,two,sedan,fwd,front,2bbl,100,25,31,10345
isuzu,gas,four,sedan,rwd,front,2bbl,78,24,29,6785
isuzu,gas,two,sedan,fwd,front,2bbl,70,38,43,0
isuzu,gas,four,sedan,fwd,front,2bbl,70,38,43,0
